CELL_TYPE,ARC_TYPE,DELAY_DIFF(ps),DIFF_PERC(%),DELAY(ps),IDEAL_DELAY(ps),INPUT_SLEW(ps),LOAD_CAP(fF),WAVEFORM_TYPE
and_high_stack,input_fall_output_fall,13.5,11.5,97,85.5,244.7,15.2,single_point_average_vdd
and_high_stack,input_fall_output_fall,3.6,2.2,63.2,61,9.4,15.2,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,9.8,2.9, ,29.7,47.9,0.5,wfm_min_compression
and_high_stack,input_fall_output_fall,-6.4,-3.4,49.4,52.8,244.7,3.8,single_point_average_vss
and_high_stack,input_fall_output_fall,15.6,13.3,98.8,85.5,244.7,15.2,single_point_vdd_drop_max
and_high_stack,input_fall_output_fall,3.3,2.3,72.9,70.6,47.9,15.2,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,3.5,2.5,73.1,70.6,47.9,15.2,wfm_narrow_vdd
and_high_stack,input_fall_output_fall,3.4,2.4,73,70.6,47.9,15.2,wfm_wide_vdd
and_high_stack,input_fall_output_fall,-0.3,-0.1,29.6,29.7,47.9,0.5,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,1.6,0.6,39,38.4,47.9,3.8,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,6.2,3.8,64.8,61,9.4,15.2,single_point_average_vss
and_high_stack,input_fall_output_fall,7.4,2.2,31.9,29.7,47.9,0.5,wfm_max_energy_vdd
and_high_stack,input_fall_output_fall,2,0.6,30.3,29.7,47.9,0.5,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,7.1,5,75.6,70.6,47.9,15.2,wfm_min_compression
and_high_stack,input_fall_output_fall,-10,-4.3,38.6,42.9,244.7,0.5,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,3.1,0.9,29.8,28.9,9.4,3.8,wfm_max_energy_vss
and_high_stack,input_fall_output_fall,-0.9,-0.8,84.7,85.5,244.7,15.2,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,5.2,3.2,64.2,61,9.4,15.2,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,4.1,2.9,73.5,70.6,47.9,15.2,single_point_vss_bounce_min
and_high_stack,input_fall_output_fall,2.8,1.7,62.7,61,9.4,15.2,single_point_average_vdd
and_high_stack,input_fall_output_fall,1.3,0.8,61.8,61,9.4,15.2,wfm_wide_vdd
and_high_stack,input_fall_output_fall,3.8,1.1,30,28.9,9.4,3.8,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,2,0.4,20.7,20.3,9.4,0.5,single_point_average_vss
and_high_stack,input_fall_output_fall,6.7,4.1,65.1,61,9.4,15.2,single_point_vss_bounce_max
and_high_stack,input_fall_output_fall,7.9,1.6,21.9,20.3,9.4,0.5,wfm_min_compression
and_high_stack,input_fall_output_fall,3.1,0.9,29.8,28.9,9.4,3.8,wfm_narrow_vss
and_high_stack,input_fall_output_fall,1.8,1.1,62.1,61,9.4,15.2,single_point_vdd_drop_min
